Wavelength Scan - Scanning

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8002850
Software Version:,,,"2.1,  Build 5"
Firmware Version:,,,2.0.102
Method Name:,,,<Default Method>
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,

#,Filename,Acquired
1,,"August 14, 2024 2:45 PM"

Scan Mode:,,,Abs
Start Wavelength:,,,200.0 nm
End Wavelength:,,,800.0 nm
Wavelength Interval:,,,1.0 nm
Scan Speed:,,,1200 nm/min

,Sample Name,,Description
1,BLANK,,
2,CR,,
3,SP,,
4,BM,,
5,TR,,
6,AL,,
7,CB,,
8,TB,,

nm,Abs 1,Abs 2,Abs 3,Abs 4,Abs 5,Abs 6,Abs 7,Abs 8
200.0,-0.0001,0.3656,0.9215,0.7409,0.7030,1.3450,4.5000,4.5000
201.0,-0.0004,0.3443,0.8703,0.6955,0.6566,1.2846,4.5000,4.5000
202.0,-0.0001,0.3243,0.8261,0.6554,0.6184,1.2383,4.5000,4.5000
203.0,-0.0002,0.3051,0.7880,0.6196,0.5841,1.1918,4.5000,4.5000
204.0,-0.0003,0.2857,0.7524,0.5840,0.5521,1.1497,4.5000,4.5000
205.0,-0.0003,0.2687,0.7224,0.5533,0.5255,1.1115,4.5000,4.5000
206.0,-0.0001,0.2542,0.6962,0.5274,0.5041,1.0777,4.5000,4.5000
207.0,-0.0001,0.2404,0.6719,0.5032,0.4831,1.0469,3.5041,4.5000
208.0,-0.0004,0.2276,0.6503,0.4805,0.4654,1.0192,3.2281,4.5000
209.0,-0.0003,0.2161,0.6305,0.4607,0.4495,0.9939,3.1535,4.5000
210.0,-0.0003,0.2056,0.6113,0.4416,0.4346,0.9690,3.0961,4.5000
211.0,-0.0003,0.1944,0.5925,0.4219,0.4190,0.9445,2.9933,4.5000
212.0,-0.0003,0.1857,0.5768,0.4063,0.4071,0.9247,2.9137,4.5000
213.0,-0.0001,0.1777,0.5619,0.3911,0.3954,0.9065,2.8514,4.5000
214.0,-0.0002,0.1698,0.5473,0.3771,0.3840,0.8886,2.7702,4.5000
215.0,-0.0002,0.1630,0.5346,0.3645,0.3737,0.8711,2.7558,4.5000
216.0,-0.0002,0.1559,0.5214,0.3512,0.3628,0.8552,2.6953,4.5000
217.0,-0.0001,0.1498,0.5091,0.3396,0.3538,0.8401,2.6441,4.5000
218.0,-0.0001,0.1443,0.4984,0.3295,0.3454,0.8263,2.6172,4.5000
219.0,-0.0003,0.1392,0.4878,0.3195,0.3372,0.8130,2.5606,4.5000
220.0,0.0000,0.1345,0.4782,0.3097,0.3297,0.8006,2.5407,4.5000
221.0,0.0000,0.1294,0.4679,0.3002,0.3215,0.7870,2.4717,4.5000
222.0,-0.0001,0.1252,0.4591,0.2918,0.3145,0.7758,2.4241,4.5000
223.0,-0.0002,0.1212,0.4504,0.2840,0.3080,0.7642,2.3925,4.5000
224.0,-0.0001,0.1174,0.4420,0.2764,0.3018,0.7536,2.3552,4.5000
225.0,-0.0003,0.1139,0.4343,0.2694,0.2956,0.7426,2.3299,4.5000
226.0,-0.0001,0.1104,0.4261,0.2620,0.2892,0.7311,2.2934,4.5000
227.0,-0.0002,0.1073,0.4187,0.2557,0.2839,0.7214,2.2533,4.5000
228.0,-0.0002,0.1043,0.4118,0.2495,0.2785,0.7117,2.2174,4.5000
229.0,-0.0002,0.1016,0.4048,0.2434,0.2732,0.7016,2.1800,4.5000
230.0,-0.0002,0.0989,0.3981,0.2378,0.2680,0.6919,2.1459,4.5000
231.0,0.0000,0.0962,0.3915,0.2318,0.2630,0.6819,2.1103,4.5000
232.0,-0.0001,0.0938,0.3849,0.2267,0.2581,0.6724,2.0767,4.5000
233.0,0.0000,0.0916,0.3786,0.2217,0.2537,0.6628,2.0375,4.5000
234.0,-0.0002,0.0895,0.3729,0.2170,0.2494,0.6542,2.0105,4.5000
235.0,-0.0001,0.0872,0.3670,0.2121,0.2449,0.6443,1.9809,4.5000
236.0,-0.0001,0.0851,0.3615,0.2077,0.2407,0.6358,1.9486,4.5000
237.0,-0.0003,0.0832,0.3563,0.2038,0.2371,0.6275,1.9201,4.5000
238.0,-0.0001,0.0817,0.3516,0.2002,0.2335,0.6196,1.8974,4.5000
239.0,0.0000,0.0800,0.3468,0.1965,0.2302,0.6118,1.8719,4.5000
240.0,-0.0000,0.0783,0.3422,0.1930,0.2269,0.6038,1.8440,4.5000
241.0,0.0000,0.0768,0.3379,0.1897,0.2237,0.5967,1.8220,4.5000
242.0,-0.0000,0.0755,0.3341,0.1867,0.2211,0.5897,1.7985,4.5000
243.0,-0.0001,0.0742,0.3303,0.1841,0.2184,0.5834,1.7784,4.5000
244.0,0.0001,0.0731,0.3270,0.1814,0.2161,0.5777,1.7598,4.5000
245.0,0.0001,0.0716,0.3235,0.1787,0.2138,0.5720,1.7365,4.5000
246.0,0.0001,0.0704,0.3205,0.1764,0.2115,0.5664,1.7190,4.5000
247.0,0.0000,0.0695,0.3176,0.1745,0.2093,0.5615,1.7064,4.5000
248.0,-0.0001,0.0686,0.3147,0.1723,0.2076,0.5565,1.6887,4.5000
249.0,0.0001,0.0674,0.3123,0.1703,0.2054,0.5517,1.6746,4.5000
250.0,0.0001,0.0665,0.3097,0.1683,0.2038,0.5476,1.6567,4.5000
251.0,-0.0000,0.0655,0.3071,0.1667,0.2018,0.5435,1.6467,4.5000
252.0,-0.0001,0.0645,0.3047,0.1649,0.2001,0.5397,1.6344,4.5000
253.0,-0.0002,0.0637,0.3026,0.1632,0.1986,0.5360,1.6183,4.5000
254.0,-0.0001,0.0629,0.3001,0.1616,0.1968,0.5318,1.6043,4.5000
255.0,0.0000,0.0622,0.2979,0.1603,0.1953,0.5283,1.5933,4.5000
256.0,0.0000,0.0616,0.2955,0.1587,0.1936,0.5243,1.5791,4.5000
257.0,0.0000,0.0610,0.2931,0.1573,0.1919,0.5207,1.5686,4.5000
258.0,0.0001,0.0603,0.2908,0.1558,0.1903,0.5167,1.5533,4.5000
259.0,-0.0001,0.0597,0.2879,0.1541,0.1886,0.5128,1.5373,4.5000
260.0,0.0001,0.0592,0.2854,0.1529,0.1869,0.5085,1.5231,4.5000
261.0,-0.0002,0.0584,0.2824,0.1511,0.1849,0.5040,1.5113,4.5000
262.0,-0.0002,0.0579,0.2795,0.1494,0.1830,0.4997,1.4945,4.5000
