Wavelength Scan - Scanning

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8002850
Software Version:,,,"2.1,  Build 5"
Firmware Version:,,,2.0.102
Method Name:,,,LTER color 1cm
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,

#,Filename,Acquired
1,,"August 13, 2025 11:44 AM"

Scan Mode:,,,Abs
Start Wavelength:,,,200.0 nm
End Wavelength:,,,400.0 nm
Wavelength Interval:,,,1.0 nm
Scan Speed:,,,1200 nm/min

,Sample Name,,Description
1,Blank,,
2,CB,,
3,TB,,

nm,Abs 1,Abs 2,Abs 3
200.0,0.0001,0.4801,1.6968
201.0,-0.0003,0.4728,1.6840
202.0,-0.0005,0.4655,1.6865
203.0,-0.0001,0.4593,1.6768
204.0,-0.0002,0.4523,1.6733
205.0,0.0000,0.4462,1.6597
206.0,-0.0001,0.4396,1.6480
207.0,-0.0001,0.4340,1.6357
208.0,0.0001,0.4282,1.6243
209.0,0.0001,0.4226,1.6056
210.0,0.0001,0.4162,1.5917
211.0,0.0002,0.4099,1.5726
212.0,0.0003,0.4043,1.5564
213.0,0.0002,0.3988,1.5400
214.0,0.0003,0.3930,1.5216
215.0,0.0002,0.3878,1.5051
216.0,0.0004,0.3819,1.4824
217.0,0.0004,0.3766,1.4659
218.0,0.0002,0.3715,1.4484
219.0,0.0005,0.3667,1.4323
220.0,0.0003,0.3617,1.4146
221.0,0.0002,0.3562,1.3946
222.0,0.0005,0.3516,1.3792
223.0,0.0001,0.3462,1.3618
224.0,0.0001,0.3412,1.3449
225.0,0.0002,0.3361,1.3274
226.0,0.0002,0.3303,1.3089
227.0,0.0001,0.3249,1.2922
228.0,0.0002,0.3196,1.2758
229.0,0.0002,0.3142,1.2564
230.0,0.0002,0.3085,1.2377
231.0,0.0001,0.3027,1.2208
232.0,0.0001,0.2971,1.2029
233.0,0.0002,0.2918,1.1854
234.0,0.0002,0.2868,1.1701
235.0,0.0001,0.2814,1.1508
236.0,0.0002,0.2766,1.1359
237.0,0.0003,0.2720,1.1202
238.0,0.0001,0.2675,1.1051
239.0,0.0001,0.2631,1.0901
240.0,0.0003,0.2587,1.0759
241.0,0.0000,0.2548,1.0629
242.0,0.0001,0.2511,1.0499
243.0,0.0001,0.2477,1.0380
244.0,0.0002,0.2444,1.0279
245.0,0.0002,0.2409,1.0159
246.0,0.0000,0.2380,1.0070
247.0,0.0001,0.2353,0.9979
248.0,0.0002,0.2327,0.9897
249.0,0.0001,0.2299,0.9812
250.0,0.0001,0.2276,0.9740
251.0,0.0002,0.2251,0.9663
252.0,0.0002,0.2228,0.9594
253.0,0.0003,0.2206,0.9520
254.0,0.0003,0.2183,0.9446
255.0,0.0001,0.2158,0.9378
256.0,0.0003,0.2137,0.9308
257.0,0.0002,0.2112,0.9223
258.0,0.0000,0.2087,0.9152
259.0,0.0002,0.2063,0.9067
260.0,0.0000,0.2035,0.8991
261.0,0.0000,0.2012,0.8901
262.0,-0.0000,0.1984,0.8809
263.0,0.0001,0.1955,0.8707
264.0,-0.0002,0.1925,0.8603
265.0,-0.0001,0.1894,0.8507
266.0,0.0001,0.1865,0.8402
267.0,-0.0001,0.1832,0.8285
268.0,0.0000,0.1802,0.8184
269.0,-0.0001,0.1769,0.8071
270.0,0.0001,0.1741,0.7957
271.0,0.0002,0.1710,0.7848
272.0,0.0000,0.1674,0.7717
273.0,0.0003,0.1644,0.7609
274.0,-0.0001,0.1611,0.7495
275.0,0.0002,0.1583,0.7386
276.0,0.0000,0.1550,0.7270
277.0,0.0004,0.1521,0.7156
278.0,0.0002,0.1493,0.7054
279.0,0.0002,0.1464,0.6949
280.0,-0.0002,0.1429,0.6826
281.0,0.0001,0.1403,0.6733
282.0,0.0002,0.1377,0.6635
283.0,0.0002,0.1347,0.6533
284.0,0.0002,0.1317,0.6432
285.0,-0.0001,0.1289,0.6335
286.0,0.0000,0.1263,0.6236
287.0,0.0001,0.1239,0.6151
288.0,0.0001,0.1209,0.6051
289.0,0.0001,0.1182,0.5960
290.0,-0.0002,0.1155,0.5873
291.0,0.0001,0.1133,0.5786
292.0,0.0002,0.1104,0.5692
293.0,0.0000,0.1081,0.5609
294.0,0.0000,0.1058,0.5528
295.0,0.0000,0.1034,0.5443
296.0,0.0002,0.1007,0.5354
297.0,-0.0001,0.0983,0.5274
298.0,0.0000,0.0961,0.5195
299.0,-0.0001,0.0938,0.5117
300.0,-0.0001,0.0913,0.5028
301.0,0.0000,0.0892,0.4954
302.0,-0.0001,0.0868,0.4875
303.0,-0.0001,0.0848,0.4799
304.0,-0.0001,0.0824,0.4715
305.0,-0.0002,0.0804,0.4639
