Wavelength Scan - Scanning

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8002850
Software Version:,,,"2.1,  Build 5"
Firmware Version:,,,2.0.102
Method Name:,,,LTER color 5cm
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,

#,Filename,Acquired
1,,"August 13, 2025 11:02 AM"

Scan Mode:,,,Abs
Start Wavelength:,,,200.0 nm
End Wavelength:,,,800.0 nm
Wavelength Interval:,,,1.0 nm
Scan Speed:,,,1200 nm/min

,Sample Name,,Description
1,Blank,,
2,CR,,
3,SP,,
4,BM,,
5,TR,,
6,AL,,
7,CB,,
8,TB,,

nm,Abs 1,Abs 2,Abs 3,Abs 4,Abs 5,Abs 6,Abs 7,Abs 8
200.0,-0.0002,0.2483,0.6478,0.5578,0.5045,1.1481,4.5000,4.5000
201.0,0.0000,0.2299,0.6007,0.5221,0.4650,1.0954,3.4495,4.5000
202.0,0.0003,0.2123,0.5619,0.4872,0.4319,1.0492,3.4979,4.5000
203.0,0.0002,0.1952,0.5270,0.4577,0.4033,1.0092,3.2409,4.5000
204.0,0.0000,0.1793,0.4969,0.4290,0.3773,0.9687,2.9826,4.5000
205.0,0.0000,0.1640,0.4688,0.4039,0.3555,0.9354,2.8448,4.5000
206.0,0.0001,0.1520,0.4467,0.3833,0.3381,0.9062,2.8100,4.5000
207.0,0.0002,0.1403,0.4268,0.3638,0.3222,0.8787,2.6862,4.5000
208.0,-0.0001,0.1297,0.4085,0.3460,0.3081,0.8531,2.5386,4.5000
209.0,0.0001,0.1208,0.3923,0.3308,0.2964,0.8314,2.5100,4.5000
210.0,0.0000,0.1124,0.3777,0.3160,0.2853,0.8109,2.5103,4.5000
211.0,0.0000,0.1040,0.3625,0.3007,0.2739,0.7889,2.4298,4.5000
212.0,-0.0001,0.0976,0.3503,0.2889,0.2651,0.7726,2.4140,4.5000
213.0,-0.0001,0.0920,0.3401,0.2777,0.2575,0.7568,2.3552,4.5000
214.0,-0.0001,0.0865,0.3298,0.2670,0.2494,0.7422,2.2951,4.5000
215.0,-0.0001,0.0820,0.3205,0.2577,0.2428,0.7294,2.2772,4.5000
216.0,-0.0002,0.0775,0.3112,0.2481,0.2358,0.7156,2.2523,4.5000
217.0,0.0000,0.0741,0.3035,0.2400,0.2298,0.7040,2.2111,4.5000
218.0,-0.0001,0.0707,0.2961,0.2324,0.2246,0.6927,2.1748,4.5000
219.0,-0.0001,0.0677,0.2890,0.2254,0.2193,0.6823,2.1499,4.5000
220.0,0.0001,0.0650,0.2827,0.2186,0.2145,0.6725,2.1211,4.5000
221.0,0.0000,0.0619,0.2756,0.2115,0.2094,0.6615,2.0900,4.5000
222.0,-0.0000,0.0595,0.2698,0.2054,0.2048,0.6522,2.0557,4.5000
223.0,0.0000,0.0571,0.2639,0.1995,0.2004,0.6434,2.0355,4.5000
224.0,-0.0002,0.0548,0.2584,0.1939,0.1960,0.6344,2.0030,4.5000
225.0,0.0000,0.0529,0.2534,0.1887,0.1922,0.6261,1.9741,4.5000
226.0,-0.0000,0.0507,0.2478,0.1831,0.1882,0.6169,1.9418,4.5000
227.0,-0.0001,0.0488,0.2430,0.1782,0.1845,0.6085,1.9119,4.5000
228.0,-0.0002,0.0471,0.2387,0.1739,0.1810,0.6005,1.8847,4.5000
229.0,-0.0001,0.0454,0.2340,0.1695,0.1777,0.5926,1.8543,4.5000
230.0,-0.0001,0.0439,0.2296,0.1651,0.1745,0.5844,1.8317,4.5000
231.0,0.0000,0.0425,0.2254,0.1611,0.1712,0.5762,1.8007,4.5000
232.0,0.0000,0.0411,0.2214,0.1572,0.1681,0.5681,1.7710,4.5000
233.0,-0.0002,0.0399,0.2176,0.1537,0.1654,0.5606,1.7406,4.5000
234.0,-0.0001,0.0388,0.2142,0.1506,0.1629,0.5537,1.7190,4.5000
235.0,0.0001,0.0379,0.2104,0.1473,0.1604,0.5460,1.6940,4.5000
236.0,-0.0000,0.0369,0.2072,0.1443,0.1580,0.5385,1.6651,4.5000
237.0,-0.0003,0.0362,0.2044,0.1418,0.1558,0.5325,1.6419,4.5000
238.0,-0.0001,0.0354,0.2015,0.1392,0.1536,0.5257,1.6200,4.5000
239.0,-0.0001,0.0347,0.1985,0.1365,0.1518,0.5194,1.5995,4.5000
240.0,-0.0003,0.0339,0.1957,0.1343,0.1496,0.5131,1.5756,4.5000
241.0,-0.0002,0.0333,0.1933,0.1320,0.1479,0.5072,1.5553,4.5000
242.0,-0.0002,0.0328,0.1908,0.1301,0.1462,0.5020,1.5381,4.5000
243.0,-0.0004,0.0323,0.1888,0.1282,0.1448,0.4969,1.5230,4.5000
244.0,0.0000,0.0322,0.1872,0.1268,0.1438,0.4925,1.5053,4.5000
245.0,-0.0001,0.0318,0.1852,0.1252,0.1423,0.4873,1.4885,4.5000
246.0,-0.0000,0.0316,0.1837,0.1238,0.1413,0.4833,1.4735,4.5000
247.0,-0.0001,0.0312,0.1819,0.1224,0.1400,0.4795,1.4619,4.5000
248.0,-0.0000,0.0310,0.1806,0.1211,0.1392,0.4758,1.4486,4.5000
249.0,-0.0001,0.0307,0.1789,0.1197,0.1380,0.4725,1.4341,4.5000
250.0,0.0000,0.0305,0.1776,0.1187,0.1373,0.4693,1.4229,4.5000
251.0,0.0001,0.0304,0.1763,0.1177,0.1363,0.4659,1.4120,4.5000
252.0,-0.0000,0.0301,0.1749,0.1164,0.1353,0.4628,1.3994,4.5000
253.0,-0.0001,0.0298,0.1736,0.1155,0.1344,0.4600,1.3892,4.5000
254.0,-0.0001,0.0298,0.1721,0.1144,0.1333,0.4567,1.3777,4.5000
255.0,0.0002,0.0296,0.1709,0.1134,0.1324,0.4535,1.3672,4.5000
256.0,0.0002,0.0294,0.1694,0.1124,0.1315,0.4506,1.3553,4.5000
257.0,0.0000,0.0293,0.1679,0.1113,0.1304,0.4475,1.3455,4.5000
258.0,0.0002,0.0290,0.1664,0.1100,0.1293,0.4442,1.3313,4.5000
259.0,0.0000,0.0289,0.1645,0.1088,0.1281,0.4402,1.3193,4.5000
260.0,0.0002,0.0289,0.1632,0.1079,0.1267,0.4369,1.3076,4.5000
261.0,0.0001,0.0287,0.1613,0.1067,0.1254,0.4327,1.2964,4.5000
262.0,0.0001,0.0282,0.1594,0.1053,0.1238,0.4289,1.2828,4.5000
263.0,0.0001,0.0281,0.1570,0.1041,0.1224,0.4243,1.2669,4.5000
