SID,Event,Date,Status,Location,Sample,Depth,Sta,Rep,Test,Value,Flag
27873,0024_January,1/8/24,At Lab,12-15 Bog,A,0,1,1,DOC,27.5,
27874,0024_January,1/8/24,At Lab,12-15 Bog,B,3,1,1,DOC,26.1,
27875,0024_January,1/8/24,At Lab,12-15 Bog,BLIND,0,1,2,DOC,27.7,
27876,0024_January,1/8/24,At Lab,12-15 Bog,D,7,1,1,DOC,44.1,
27923,0024_February,2/8/24,At Lab,12-15 Bog,A,0,1,1,DOC,27.1,
27924,0024_February,2/8/24,At Lab,12-15 Bog,B,3,1,1,DOC,27.1,
27925,0024_February,2/8/24,At Lab,12-15 Bog,BLIND,3,1,2,DOC,27,
27926,0024_February,2/8/24,At Lab,12-15 Bog,D,7,1,1,DOC,37.7,
27952,0024_spring quarterly,4/11/24,At Lab,12-15 Bog,A,0,1,1,DOC,21.6,
27953,0024_spring quarterly,4/11/24,At Lab,12-15 Bog,B,3,1,1,DOC,25.1,
27954,0024_spring quarterly,4/11/24,At Lab,12-15 Bog,BLIND,0,1,2,DOC,20.6,
27955,0024_spring quarterly,4/11/24,At Lab,12-15 Bog,D,7,1,1,DOC,38.6,
28049,0024_May,5/13/24,Results Entered,12-15 Bog,A,0,1,1,DOC,20.3,
28050,0024_May,5/13/24,Results Entered,12-15 Bog,B,2,1,1,DOC,27.3,
28051,0024_May,5/13/24,Results Entered,12-15 Bog,BLIND,2,1,2,DOC,27,
28052,0024_May,5/13/24,Results Entered,12-15 Bog,C,3,1,1,DOC,26.1,
28053,0024_May,5/13/24,Results Entered,12-15 Bog,D,7,1,1,DOC,42.9,
28150,0024_June,6/10/24,Results Entered,12-15 Bog,A,0,1,1,DOC,24.8,
28151,0024_June,6/10/24,Results Entered,12-15 Bog,B,2,1,1,DOC,30.5,
28152,0024_June,6/10/24,Results Entered,12-15 Bog,BLIND,3,1,2,DOC,25.3,
28153,0024_June,6/10/24,Results Entered,12-15 Bog,C,5,1,1,DOC,29.9,
28154,0024_June,6/10/24,Results Entered,12-15 Bog,D,7,1,1,DOC,44.1,
28247,0024_July_chem,7/8/24,At Lab,12-15 Bog,A,0,1,1,DOC,23.1,
28248,0024_July_chem,7/8/24,At Lab,12-15 Bog,B,3,1,1,DOC,29.3,
28249,0024_July_chem,7/8/24,At Lab,12-15 Bog,BLIND,7,1,2,DOC,39.3,
28250,0024_July_chem,7/8/24,At Lab,12-15 Bog,C,5,1,1,DOC,28.7,
28251,0024_July_chem,7/8/24,At Lab,12-15 Bog,D,7,1,1,DOC,39.2,
28352,0024_August_quarterly,8/6/24,At Lab,12-15 Bog,A,0,1,1,DOC,29,
28353,0024_August_quarterly,8/6/24,At Lab,12-15 Bog,B,3,1,1,DOC,31.2,
28354,0024_August_quarterly,8/6/24,At Lab,12-15 Bog,BLIND,5,1,2,DOC,30.1,
28355,0024_August_quarterly,8/6/24,At Lab,12-15 Bog,C,5,1,1,DOC,30.1,
28356,0024_August_quarterly,8/6/24,At Lab,12-15 Bog,D,7,1,1,DOC,44.2,
28461,0024_September,9/5/24,At Lab,12-15 Bog,A,0,1,1,DOC,27.3,
28462,0024_September,9/5/24,At Lab,12-15 Bog,B,2,1,1,DOC,34.7,
28463,0024_September,9/5/24,At Lab,12-15 Bog,BLIND,5,1,2,DOC,29.1,
28464,0024_September,9/5/24,At Lab,12-15 Bog,C,5,1,1,DOC,28.5,
28465,0024_September,9/5/24,At Lab,12-15 Bog,D,7,1,1,DOC,43.9,
28591,0024_October,9/30/24,Results Entered,12-15 Bog,A,0,1,1,DOC,28.4,
28592,0024_October,9/30/24,Results Entered,12-15 Bog,B,2,1,1,DOC,36,
28593,0024_October,9/30/24,Results Entered,12-15 Bog,BLIND,0,1,2,DOC,28.6,
28594,0024_October,9/30/24,Results Entered,12-15 Bog,C,5,1,1,DOC,28.4,
28595,0024_October,9/30/24,Results Entered,12-15 Bog,D,7,1,1,DOC,38.3,
28684,0024_lateOctober,10/29/24,At Lab,12-15 Bog,A,0,1,1,DOC,28,
