"lakeid","year4","daynum","sampledate","depth","rep","sta","event","cl","so4","ca","mg","na","k","fe","mn","cond","flagcl","flagso4","flagca","flagmg","flagna","flagk","flagfe","flagmn","flagcond"
"AL",1981,113,"1981-04-23",2,1,1,"Chem",,,9.6,2.72,1.44,0.75,,,,,,,,,,,,
"AL",1981,113,"1981-04-23",7,1,1,"Chem",,,,2.69,1.46,0.77,,,,,,,,,,,,
"AL",1981,183,"1981-07-02",0,1,1,"Non-chem",,,,,,,,,75,,,,,,,,,
"AL",1981,183,"1981-07-02",1,1,1,"Non-chem",,,,,,,,,74,,,,,,,,,
"AL",1981,183,"1981-07-02",2,1,1,"Non-chem",,,,,,,,,73,,,,,,,,,
"AL",1981,183,"1981-07-02",3,1,1,"Non-chem",,,,,,,,,72,,,,,,,,,
"AL",1981,183,"1981-07-02",4,1,1,"Non-chem",,,,,,,,,70,,,,,,,,,
"AL",1981,183,"1981-07-02",5,1,1,"Non-chem",,,,,,,,,69,,,,,,,,,
"AL",1981,183,"1981-07-02",6,1,1,"Non-chem",,,,,,,,,72,,,,,,,,,
"AL",1981,183,"1981-07-02",7,1,1,"Non-chem",,,,,,,,,75,,,,,,,,,
"AL",1981,183,"1981-07-02",8,1,1,"Non-chem",,,,,,,,,131,,,,,,,,,
"AL",1981,209,"1981-07-28",0,1,1,"Chem",,,,,,,,,75,,,,,,,,,
"AL",1981,209,"1981-07-28",1,1,1,"Chem",,,,,,,,,75,,,,,,,,,
"AL",1981,209,"1981-07-28",2,1,1,"Chem",,,,,,,,,75,,,,,,,,,
"AL",1981,209,"1981-07-28",3,1,1,"Chem",,,,,,,,,75,,,,,,,,,
"AL",1981,209,"1981-07-28",4,1,1,"Chem",,,,,,,,,73,,,,,,,,,
"AL",1981,209,"1981-07-28",5,1,1,"Chem",,,,,,,,,75,,,,,,,,,
"AL",1981,209,"1981-07-28",6,1,1,"Chem",,,,,,,,,77,,,,,,,,,
"AL",1981,209,"1981-07-28",7,1,1,"Chem",,,,,,,,,100,,,,,,,,,
"AL",1981,239,"1981-08-27",0,1,1,"Chem",,,,,,,,,85,,,,,,,,,
"AL",1981,239,"1981-08-27",3,1,1,"Chem",,,,,,,,,85,,,,,,,,,
"AL",1981,239,"1981-08-27",4,1,1,"Chem",,,,,,,,,86,,,,,,,,,
"AL",1981,239,"1981-08-27",5,1,1,"Chem",,,,,,,,,87,,,,,,,,,
"AL",1981,239,"1981-08-27",6,1,1,"Chem",,,,,,,,,100,,,,,,,,,
"AL",1981,239,"1981-08-27",7,1,1,"Chem",,,,,,,,,145,,,,,,,,,
"AL",1981,269,"1981-09-26",0,1,1,"Chem",,,,,,,,,104,,,,,,,,,
"AL",1981,269,"1981-09-26",1,1,1,"Chem",,,,,,,,,105,,,,,,,,,
"AL",1981,269,"1981-09-26",2,1,1,"Chem",,,,,,,,,102,,,,,,,,,
"AL",1981,269,"1981-09-26",3,1,1,"Chem",,,,,,,,,105,,,,,,,,,
"AL",1981,269,"1981-09-26",4,1,1,"Chem",,,,,,,,,105,,,,,,,,,
"AL",1981,269,"1981-09-26",5,1,1,"Chem",,,,,,,,,105,,,,,,,,,
"AL",1981,269,"1981-09-26",6,1,1,"Chem",,,,,,,,,105,,,,,,,,,
"AL",1981,269,"1981-09-26",7,1,1,"Chem",,,,,,,,,121,,,,,,,,,
"AL",1982,26,"1982-01-26",0,1,1,"Chem",,,,,,,,,91,,,,,,,,,
"AL",1982,26,"1982-01-26",1,1,1,"Chem",,,,,,,,,88,,,,,,,,,
"AL",1982,26,"1982-01-26",2,1,1,"Chem",,,,,,,,,86,,,,,,,,,
"AL",1982,26,"1982-01-26",3,1,1,"Chem",,,,,,,,,85,,,,,,,,,
"AL",1982,26,"1982-01-26",4,1,1,"Chem",,,,,,,,,85,,,,,,,,,
"AL",1982,26,"1982-01-26",5,1,1,"Chem",,,,,,,,,85,,,,,,,,,
"AL",1982,26,"1982-01-26",6,1,1,"Chem",,,,,,,,,92,,,,,,,,,
"AL",1982,26,"1982-01-26",7,1,1,"Chem",,,,,,,,,95,,,,,,,,,
"AL",1982,54,"1982-02-23",0,1,1,"Quarterly",,,,,,,,,74,,,,,,,,,
"AL",1982,54,"1982-02-23",1,1,1,"Quarterly",,,,,,,,,78,,,,,,,,,
"AL",1982,54,"1982-02-23",2,1,1,"Quarterly",,,,,,,,,82,,,,,,,,,
"AL",1982,54,"1982-02-23",3,1,1,"Quarterly",,,,,,,,,83,,,,,,,,,
"AL",1982,54,"1982-02-23",4,1,1,"Quarterly",,,,,,,,,87,,,,,,,,,
"AL",1982,54,"1982-02-23",5,1,1,"Quarterly",,,,,,,,,91,,,,,,,,,
"AL",1982,54,"1982-02-23",6,1,1,"Quarterly",,,,,,,,,97,,,,,,,,,
"AL",1982,54,"1982-02-23",7,1,1,"Quarterly",,,,,,,,,103,,,,,,,,,
"AL",1982,95,"1982-04-05",0,1,1,"Chem",,,,,,,,,50,,,,,,,,,
"AL",1982,95,"1982-04-05",1,1,1,"Chem",,,,,,,,,86,,,,,,,,,
"AL",1982,95,"1982-04-05",2,1,1,"Chem",,,,,,,,,92,,,,,,,,,
"AL",1982,95,"1982-04-05",3,1,1,"Chem",,,,,,,,,93,,,,,,,,,
"AL",1982,95,"1982-04-05",4,1,1,"Chem",,,,,,,,,96,,,,,,,,,
"AL",1982,95,"1982-04-05",5,1,1,"Chem",,,,,,,,,100,,,,,,,,,
"AL",1982,95,"1982-04-05",6,1,1,"Chem",,,,,,,,,104,,,,,,,,,
"AL",1982,95,"1982-04-05",7,1,1,"Chem",,,,,,,,,108,,,,,,,,,
"AL",1982,131,"1982-05-11",0,1,1,"Quarterly",0.28,3.56,10.56,2.85,1.37,0.64,,,82,,,,,,,,,
"AL",1982,131,"1982-05-11",1,1,1,"Quarterly",,,,,,,,,82,,,,,,,,,
"AL",1982,131,"1982-05-11",2,1,1,"Quarterly",,,,,,,,,83,,,,,,,,,
"AL",1982,131,"1982-05-11",3,1,1,"Quarterly",,,,,,,,,83,,,,,,,,,
