"lakeid","station","year4","sample_date","species_code","species_name","density","individuals_measured","avg_length"
"AL",1,1982,"1982-02-23",10000,"COPEPOD NAUPLII",24.4,,
"AL",1,1982,"1982-02-23",20000,"CYCLOPOID",1.4,,
"AL",1,1982,"1982-02-23",20302,"DIACYCLOPS THOMASI",1.4,,
"AL",1,1982,"1982-02-23",20901,"TROPOCYCLOPS PRASINUS MEXICANUS",8.6,,
"AL",1,1982,"1982-02-23",30801,"SKISTODIAPTOMUS OREGONENSIS",1.4,,
"AL",1,1982,"1982-02-23",50700,"BOSMINIDAE",1.4,,
"AL",1,1982,"1982-02-23",61502,"GASTROPUS STYLIFER",1.4,,
"AL",1,1982,"1982-02-23",61702,"KELLICOTTIA LONGISPINA",1.4,,
"AL",1,1982,"1982-02-23",61801,"KERATELLA COCHLEARIS",2.9,,
"AL",1,1982,"1982-02-23",61804,"KERATELLA EARLINAE",48.9,,
"AL",1,1982,"1982-02-23",61806,"KERATELLA QUADRATA",23,,
"AL",1,1982,"1982-02-23",61900,"LECANE",2.9,,
"AL",1,1982,"1982-05-11",10000,"COPEPOD NAUPLII",40.3,,
"AL",1,1982,"1982-05-11",20000,"CYCLOPOID",1.4,,
"AL",1,1982,"1982-05-11",20302,"DIACYCLOPS THOMASI",8.6,,
"AL",1,1982,"1982-05-11",20601,"MESOCYCLOPS EDAX",1.4,,
"AL",1,1982,"1982-05-11",20901,"TROPOCYCLOPS PRASINUS MEXICANUS",2.9,,
"AL",1,1982,"1982-05-11",30801,"SKISTODIAPTOMUS OREGONENSIS",2.8,,
"AL",1,1982,"1982-05-11",60900,"CONOCHILUS",11.5,,
"AL",1,1982,"1982-05-11",61402,"FILINIA TERMINALIS",15.8,,
"AL",1,1982,"1982-05-11",61502,"GASTROPUS STYLIFER",1.4,,
"AL",1,1982,"1982-05-11",61804,"KERATELLA EARLINAE",17.3,,
"AL",1,1982,"1982-05-11",61806,"KERATELLA QUADRATA",66.1,,
"AL",1,1982,"1982-06-09",10000,"COPEPOD NAUPLII",26.7,,
"AL",1,1982,"1982-06-09",20000,"CYCLOPOID",14.8,,
"AL",1,1982,"1982-06-09",20101,"ACANTHOCYCLOPS VERNALIS",0.7,,
"AL",1,1982,"1982-06-09",20901,"TROPOCYCLOPS PRASINUS MEXICANUS",12.6,,
